Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet_div_2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf_div_2tf,b_div_t,b_div_tdes,h_div_tw,h_div_tdes,D_div_t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan_,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W44X335,W44X335,F,335,98.5,44,44,NaN,NaN,NaN,15.9,16,NaN,NaN,NaN,1.03,1,  1/2 ,1.77,1  3/4 ,NaN,NaN,NaN,2.56,3,1  3/4 ,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN,38,NaN,NaN,31100,1620,1410,17.8,1200,236,150,3.49,NaN,NaN,NaN,74.7,535000,NaN,168,1180,NaN,NaN,278,805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.24,42.2,132,NaN,148,104,120,38,5  1/2 ,NaN
W,W44X290,W44X290,F,290,85.4,43.6,43  5/8 ,NaN,NaN,NaN,15.8,15  7/8 ,NaN,NaN,NaN,0.865,  7/8 ,  7/16,1.58,1  9/16,NaN,NaN,NaN,2.36,2 13/16,1  5/8 ,NaN,NaN,NaN,NaN,NaN,5.02,NaN,NaN,45,NaN,NaN,27000,1410,1240,17.8,1040,205,132,3.49,NaN,NaN,NaN,50.9,461000,NaN,166,1040,NaN,NaN,248,701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2,42,131,NaN,147,103,119,38,5  1/2 ,NaN
W,W44X262,W44X262,F,262,77.2,43.3,43  1/4 ,NaN,NaN,NaN,15.8,15  3/4 ,NaN,NaN,NaN,0.785, 13/16,  7/16,1.42,1  7/16,NaN,NaN,NaN,2.2,2  5/8 ,1  5/8 ,NaN,NaN,NaN,NaN,NaN,5.57,NaN,NaN,49.6,NaN,NaN,24100,1270,1110,17.7,923,182,117,3.47,NaN,NaN,NaN,37.3,405000,NaN,165,928,NaN,NaN,223,630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.17,41.9,131,NaN,147,102,118,38,5  1/2 ,NaN
W,W44X230,W44X230,F,230,67.8,42.9,42  7/8 ,NaN,NaN,NaN,15.8,15  3/4 ,NaN,NaN,NaN,0.71, 11/16,  3/8 ,1.22,1  1/4 ,NaN,NaN,NaN,2.01,2  7/16,1  9/16,NaN,NaN,NaN,NaN,NaN,6.45,NaN,NaN,54.8,NaN,NaN,20800,1100,971,17.5,796,157,101,3.43,NaN,NaN,NaN,24.9,346000,NaN,165,793,NaN,NaN,192,547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.13,41.7,130,NaN,146,102,118,38,5  1/2 ,NaN
W,W40X655,W40X655,T,655,193,43.6,43  5/8 ,NaN,NaN,NaN,16.9,16  7/8 ,NaN,NaN,NaN,1.97,2,1,3.54,3  9/16,NaN,NaN,NaN,4.72,4 13/16,2  3/16,NaN,NaN,NaN,NaN,NaN,2.39,NaN,NaN,17.3,NaN,NaN,56500,3080,2590,17.1,2870,542,340,3.86,NaN,NaN,NaN,589,1150000,NaN,169,2530,NaN,NaN,529,1530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.71,40.1,132,NaN,149,104,121,34,7  1/2 ,NaN
W,W40X593,W40X593,T,593,174,43,43,NaN,NaN,NaN,16.7,16  3/4 ,NaN,NaN,NaN,1.79,1 13/16, 15/16,3.23,3  1/4 ,NaN,NaN,NaN,4.41,4  1/2 ,2  1/8 ,NaN,NaN,NaN,NaN,NaN,2.58,NaN,NaN,19.1,NaN,NaN,50400,2760,2340,17,2520,481,302,3.8,NaN,NaN,NaN,445,997000,NaN,166,2240,NaN,NaN,479,1370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,39.8,130,NaN,147,103,120,34,7  1/2 ,NaN
W,W40X503,W40X503,T,503,148,42.1,42,NaN,NaN,NaN,16.4,16  3/8 ,NaN,NaN,NaN,1.54,1  9/16, 13/16,2.76,2  3/4 ,NaN,NaN,NaN,3.94,4,2,NaN,NaN,NaN,NaN,NaN,2.98,NaN,NaN,22.3,NaN,NaN,41600,2320,1980,16.8,2040,394,249,3.72,NaN,NaN,NaN,277,789000,NaN,161,1830,NaN,NaN,403,1150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,39.3,129,NaN,145,101,117,34,7  1/2 ,NaN
W,W40X431,W40X431,T,431,127,41.3,41  1/4 ,NaN,NaN,NaN,16.2,16  1/4 ,NaN,NaN,NaN,1.34,1  5/16, 11/16,2.36,2  3/8 ,NaN,NaN,NaN,3.54,3  5/8 ,1  7/8 ,NaN,NaN,NaN,NaN,NaN,3.44,NaN,NaN,25.5,NaN,NaN,34800,1960,1690,16.6,1690,328,208,3.65,NaN,NaN,NaN,177,638000,NaN,158,1510,NaN,NaN,341,969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.41,38.9,127,NaN,143,98.8,115,34,7  1/2 ,NaN
W,W40X397,W40X397,T,397,117,41,41,NaN,NaN,NaN,16.1,16  1/8 ,NaN,NaN,NaN,1.22,1  1/4 ,  5/8 ,2.2,2  3/16,NaN,NaN,NaN,3.38,3  1/2 ,1 13/16,NaN,NaN,NaN,NaN,NaN,3.66,NaN,NaN,28,NaN,NaN,32000,1800,1560,16.6,1540,300,191,3.64,NaN,NaN,NaN,142,579000,NaN,156,1380,NaN,NaN,318,891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.38,38.8,126,NaN,142,98.1,114,34,7  1/2 ,NaN
W,W40X372,W40X372,T,372,110,40.6,40  5/8 ,NaN,NaN,NaN,16.1,16  1/8 ,NaN,NaN,NaN,1.16,1  3/16,  5/8 ,2.05,2  1/16,NaN,NaN,NaN,3.23,3  5/16,1 13/16,NaN,NaN,NaN,NaN,NaN,3.93,NaN,NaN,29.5,NaN,NaN,29600,1680,1460,16.5,1420,277,177,3.6,NaN,NaN,NaN,116,528000,NaN,155,1280,NaN,NaN,295,829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.33,38.6,125,NaN,141,97.3,113,34,7  1/2 ,NaN
